"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"
"CHC255T"	-0.0302467361589615	-0.0125604110899302	0.0706834286933907	0.00553059433764741	-0.0216796425007143	-0.0125744256013352	-0.0219843574247133	0.0301775461992813	0.0496230772767743	-0.0735847977541191	-0.0123257518295235	-0.0520148526308846	-0.0154362437235426	0.024027657138345	-0.00337813802894852	0.0926090131648111	0.0282353260733262	0.0049874094935777	0.0327302964076676	-0.146135739001636
"CHC320T"	-0.0131199954259051	-0.0200883590573019	-0.00751886815933667	0.0124933279228422	0.0940209778263311	-0.00571651336876319	-0.00249245768388166	0.0533432802824981	-0.0331067354065433	0.020546186572972	0.00594619769441108	-0.0471211204068818	0.00759574845893896	0.00906395369906911	0.0136018714338093	-0.0412262290238989	-0.0122091496593393	0.0174173546007237	-0.0180962570674656	0.0378131132940923
"CHC334T"	-0.0319221977688808	0.0230485229513267	0.0339238623049773	0.0166900871844563	-0.0581559145029923	-0.0545997506040452	-0.0130382785036609	0.0511734249052935	0.0719090327355229	-0.0768547695388669	-0.0249169973145199	-0.0894004533307446	-0.0174258756941129	0.03167526860292	0.0073004888774805	0.0936588443211346	0.0189887434805544	0.0195064618374628	0.0242990217411851	-0.109288125893574
"CHC412T"	-0.0175639005408502	0.00556355751377262	0.067628306835943	0.0133041167719296	-0.034092655897627	-0.0280565607717723	-0.0132379387045876	0.0301006079861241	0.0553826546034521	-0.078225502384841	-0.0207574963590393	-0.0480993664495276	-0.0122013765592573	0.0182582729686509	0.000262029382198816	0.0805901760330406	0.0289485698090931	0.0118684177892581	0.0434203979200117	-0.128020570024808
"CHC429T"	-0.113885810123436	0.0464073364552078	-0.00866975607743281	-0.0384671685062604	0.0418678830255643	0.016640537581891	-0.0222102965161052	0.0907202121803792	-0.0079738417702483	0.00507436103749254	-0.0819087474392307	-0.0326204295642967	0.0387736541889293	0.13060832122806	-0.0287389676970188	-0.005472900958124	-0.015829979069283	-0.0535529000449035	-0.0301919125600748	-0.0153159678059508
"CHC442T"	-0.029940907107825	0.0174881104524008	0.0598031380211811	0.023175669087373	-0.0724414485059996	-0.0462674007514679	-0.00585939004384207	0.0441392946770116	0.0791448735121607	-0.0890570313236429	-0.0322828401415419	-0.0812338925241156	-0.0100330289738983	0.0333751063570186	0.00215867084815956	0.107852914917409	0.030970634700878	0.0186526762935477	0.0414705134322321	-0.121058344806367
"CHC451T"	0.00064305800117731	-0.00530062163299971	-0.0238947786797194	-0.00433228282541642	0.144774098505963	-0.0368523863681345	-0.00335619430892004	-0.0117349963897389	-0.0491145552484232	0.0368634692964171	0.018906852526801	-0.0286567715181708	0.0123495027887146	0.008230659020941	-0.0569701731146033	-0.0495171493217114	-0.0255906009087058	0.00419120563090578	-0.0143940504743978	0.0920141950265924
"CHC613T"	-0.0477079975326622	0.0171617276062231	-0.0135655222897347	0.0170084302021824	0.0871756439257879	-0.0331794458887752	0.0281710739835818	0.014966320704125	-0.0291092947880338	-0.0382033582442204	0.00801498392467613	-0.0335413207276398	0.0416180352578827	-0.00083520103985793	-0.0608875764266698	-0.0466737212821048	-0.0203054051881108	0.0130973277288511	-0.0834397970267679	-0.0209596059310647
"CHC614T"	-0.0965253874605648	-0.0242355533425715	-0.00152248427748202	0.0416745627114782	0.0606858700035058	0.0125203175607355	-0.0201428265538727	0.0931557409383598	-0.00339392587733364	0.0190259119479566	-0.0217607348759704	-0.0278129693630101	-0.014522292882836	0.0226842119713643	0.0119056208852312	0.0131702576723928	-0.00411701005324938	0.0177176936907338	-0.0272099952290351	0.00216086936406432
"CHC703T"	-0.0312301078600215	-0.000849166793903112	0.0315307204098543	0.0357024277025743	0.0196436691904675	-0.0563992321826632	-0.00155680052124876	0.050941035054435	0.00269529745973217	-0.0370412333962701	0.017418718263479	-0.0225450029834383	-0.0343774228532333	0.0384283607049005	0.0041857789371064	0.0492368735550811	-0.0321671372414085	0.0215527495133593	0.00377764773225133	-0.0205703770508271
